Index,QuestionSummary,Wave,QuestionPart1,QuestionPart2,Responses,ItemCode,Subject,Scale,Subscale,ScaleItem,Domain,ScaleName,MoBaQ,TimePoint,QCode,Rater,Timing,QuestionParentheses
622,Experienced year relation alcohol consumption argument bad feelings family,Q01,Have you ever experienced any of the following problems during the last year in relation to your alcohol consumption,Had argument of bad feelings with a family member,Never;Once;Several times,AA1470,Mother,RAPI,"",RAPI01,Alcohol problems,RutgersAlcoholProblemsIndex,Q1,Pr15W,AA,Mother,During the last year,""
623,Experienced year relation alcohol consumption suddenly found remember,Q01,Have you ever experienced any of the following problems during the last year in relation to your alcohol consumption,Suddenly found yourself in a place that you could not remember getting to,Never;Once;Several times,AA1471,Mother,RAPI,"",RAPI02,Alcohol problems,RutgersAlcoholProblemsIndex,Q1,Pr15W,AA,Mother,During the last year,""
624,Experienced year relation alcohol consumption absent school,Q01,Have you ever experienced any of the following problems during the last year in relation to your alcohol consumption,Been absent from work or school,Never;Once;Several times,AA1472,Mother,RAPI,"",RAPI03,Alcohol problems,RutgersAlcoholProblemsIndex,Q1,Pr15W,AA,Mother,During the last year,""
625,Experienced year relation alcohol consumption fainted passed suddenly,Q01,Have you ever experienced any of the following problems during the last year in relation to your alcohol consumption,Fainted or passed out suddenly,Never;Once;Several times,AA1473,Mother,RAPI,"",RAPI04,Alcohol problems,RutgersAlcoholProblemsIndex,Q1,Pr15W,AA,Mother,During the last year,""
626,Experienced year relation alcohol consumption bad time,Q01,Have you ever experienced any of the following problems during the last year in relation to your alcohol consumption,Had a bad time,Never;Once;Several times,AA1474,Mother,RAPI,"",RAPI05,Alcohol problems,RutgersAlcoholProblemsIndex,Q1,Pr15W,AA,Mother,During the last year,""
640,Agree disagree statements life close ideal,Q01,Do you agree or disagree with the following statements,In most ways my life is close to my ideal,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,AA1527,Mother,SWLS,"",SWLS01,Life satisfaction,TheSatisfactionWithLifeScale,Q1,Pr15W,AA,Mother,"",""
641,Agree disagree statements conditions life excellent,Q01,Do you agree or disagree with the following statements,The conditions of my life are excellent,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,AA1528,Mother,SWLS,"",SWLS02,Life satisfaction,TheSatisfactionWithLifeScale,Q1,Pr15W,AA,Mother,"",""
642,Agree disagree statements satisfied life,Q01,Do you agree or disagree with the following statements,I am satisfied with my life,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,AA1529,Mother,SWLS,"",SWLS03,Life satisfaction,TheSatisfactionWithLifeScale,Q1,Pr15W,AA,Mother,"",""
643,Agree disagree statements life,Q01,Do you agree or disagree with the following statements,So far i have gotten the important things i want in life,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,AA1530,Mother,SWLS,"",SWLS04,Life satisfaction,TheSatisfactionWithLifeScale,Q1,Pr15W,AA,Mother,"",""
644,Agree disagree statements live life change,Q01,Do you agree or disagree with the following statements,If i could live my life over i would change almost nothing,Disagree completely;Disagree;Disagree somewhat;Dont agree or disagree;Agree somewhat;Agree;Agree completely,AA1531,Mother,SWLS,"",SWLS05,Life satisfaction,TheSatisfactionWithLifeScale,Q1,Pr15W,AA,Mother,"",""
