QuestionPart2,ItemCode
When you enthusiastically say where is the ball or other toy will your child point towards the toy even if it is more than 1 metre away,GG227
When you look at a distant object and surprised and excited say wowwhats that does he or she turn their head in the same direction as you,GG228
Does your child use sounds or words together with gestures for example uses sounds when pointing or reaching towards toys or objects,GG229
Does your child show you toys by looking at you and holding the toy up towards you from a distance just so you can look at it,GG230
Your child cries easily,GG299
Your child is always on the go,GG300
Your child prefers playing with others rather than alone,GG301
Your child is off and running as soon as he or she wakes up in the morning,GG302
Your child is very sociable,GG303
Your child takes a long time to warm up to strangers,GG304
Your child gets upset or sad easily,GG305
Your child prefers quiet inactive games to more active ones,GG306
Your child likes to be with people,GG307
Your child reacts intensely when upset,GG308
Your child is very friendly with strangers,GG309
Your child find other people more fun than anything else,GG310
Afraid to try new things,GG313
Cant concentrate cant pay attention for long,GG314
Cant sit still restless or overactive,GG315
Cant stand waiting wants everything now,GG316
Clings to adults or too dependent,GG317
Constipated doesnt move bowels,GG318
Defiant,GG319
Demands must be met immediately,GG320
Disturbed by any change in routine,GG321
Doesnt want to sleep alone,GG322
Doesnt eat well,GG323
Doesnt seem to feel guilty after misbehaving,GG324
Eats or drinks things that are not food dont include sweets,GG325
Gets in many fights,GG326
Gets into everything,GG327
Gets too upset when separated from parents,GG328
Hits others,GG329
Poorly coordinated or clumsy,GG330
Punishment doesnt change their behavior,GG331
Quickly shifts from one activity to another,GG332
Resists going to bed at night,GG333
Stomach aches or cramps without medical cause,GG334
Sudden changes in moods or feelings,GG335
Too fearful or anxious,GG336
Vomiting throwing up without medical cause,GG337
Without holding onto anything for support does your child kick a ball by swinging their leg forward,GG222
Can your child catch a large ball with both hands,GG223
When drawing does your child hold a pencil crayon or pen between their fingers and thumb like an adult does,GG224
Can your child undo one or more buttons,GG225
Without showing him or her first does your child point to the correct picture when you say where is the cat or where is the dog your child must only point at the correct picture,GG237
When you ask your child to point to their eyes nose hair feet ears and so forth does he or she correctly point to at least seven body parts the child can point to parts of himself or herself you or a doll,GG238
Does your child make sentences that are three or four words long,GG239
Without giving him or her help by pointing or using gestures ask your child to put the shoe on the table and put the book under the chair does your child carry out both of these directions correctly,GG240
When looking at a picture book does your child tell you what is happening or what action is taking place in the picture for example barking running eating and crying you may ask what is the dog or boy doing,GG241
Can your child tell you at least two things about an object he or she is familiar with if you say for example tell me about your ball will your child answer by saying something like it is round i can throw it it is big,GG242
Your child shares readily with other children for example treats toys pencils,GG231
Your child is helpful if someone is hurt upset or feeling ill,GG232
Your child is considerate of other peoples feelings,GG233
Your child is kind to younger children,GG234
Your child often volunteers to help others parents teachers other children,GG235
Your child pays careful attention when you try to teach him or her something new,GG236
Does your child respond to their name one of the first two times you call,GG243
Does your child ever bring objects over to you to show you something,GG244
Does your child imitate you e g you make a face will your child imitate it,GG245
Does your child ever use their index finger to point to indicate interest in something,GG246
Does your child take an interest in other children,GG247
If you point at a toy across the room does your child look at it,GG248
Does your child ever seem oversensitive to noise e g plugging ears,GG251
Is it easy to make eye contact with your child,GG249
Does your child react when spoken to for instance by looking listening smiling speaking or babbling,GG250
Is he or she now able to talk using short phrases or sentences,GG255
Do you have a to and fro conversation with her or him that involves taking turns or building on what you have said,GG257
Do they ever use odd phrases or say the same thing over and over in almost exactly the same way either phrases that they hears other people use or ones that they makes up,GG258
Does your child ever use socially inappropriate questions or statements for example does your child ever regularly ask personal questions or make personal comments at awkward times,GG259
Does your child ever get their pronouns mixed up e g saying you or he or she for i,GG260
