QuestionPart2,ItemCode
In most ways my life is close to my ideal,G511
The conditions of my life are excellent,G512
I am satisfied with my life,G513
So far i have gotten the important things i want in life,G514
If i could live my life over i would change almost nothing,G515
Feeling fearful,G521
Nervousness or shakiness inside,G522
Feeling hopeless about the future,G523
Feeling blue,G524
Worrying too much about things,G525
Feeling everything is an effort,G526
Feel tense or keyed up,G527
Suddenly scared for no reason,G528
Feeling low in energy slowed down,G529
Crying easily,G5210
Feeling of being useless,G5211
Blaming yourself for things,G5212
