QuestionPart2,ItemCode
I have a close relationship with my spouse or partner,CC1192
My partner and i have problems in our relationship,CC1193
I am very happy with our relationship,CC1194
My partner is generally understanding,CC1195
I often consider ending our relationship,CC1196
I am satisfied with my relationship with my partner,CC1197
We frequently disagree on important decisions,CC1198
I have been lucky in my choice of a partner,CC1199
We agree on how our child should be raised,CC1200
I believe my partner is satisfied with our relationship,CC1201
Feeling fearful,CC1202
Nervousness or shakiness inside,CC1203
Feeling hopeless about the future,CC1204
Feeling blue,CC1205
Worrying too much about things,CC1206
Feeling everything is an effort,CC1207
Feeling tense or keyed up,CC1208
Suddenly scared for no reason,CC1209
Feel glad about something,CC1210
Feel happy,CC1211
Feel joyful like everything is going your way everything is rosy,CC1212
Feel like screaming at somebody or banging on something,CC1213
Feel angry irritated annoyed,CC1214
Feel mad at somebody,CC1215
I can always manage to solve difficult problems if i try hard enough,CC1216
If someone opposes me i can find the means and ways to get what i,CC1217
I am confident that i could deal efficiently with unexpected events,CC1218
I can remain calm when facing difficulties because i can rely on my coping abilities,CC1219
If i am in trouble i can think of a good solution,CC1220
In most ways my life is close to my ideal,CC1224
The conditions of my life are excellent,CC1225
I am satisfied with my life,CC1226
So far i have gotten the important things i want in life,CC1227
If i could live my life over i would change almost nothing,CC1228
I have a positive attitude toward myself,CC1229
I feel completely useless at times,CC1230
I feel that i do not have much to be proud about,CC1231
I feel that i am a valuable person as good as anyone else,CC1232
Have you had problems at work or where you study,CC1233
Have you had financial problems,CC1235
Have you been divorced separated or ended the relationship with your partner,CC1237
Have you had any problems or conflicts with your family friends or neighbors,CC1239
Have you been seriously ill or injured,CC1241
Has anyone close to you been seriously ill or injured,CC1243
Have you been involved in a serious traffic accident house fire or robbery,CC1245
Have you lost someone close to you,CC1247
Other,CC1249
