question_no,question,cluster,similarity.to.cluster.centre,Var1,SubjectQ,ItemCode,Scale,Subject,Wave,ScaleItem,QCode1,value
4. ,Have you found that you were not able to stop drinking once you had started,2,0.5267384463710428,HaveYouFoundThatYouWereNotAbleToStopDrinkingOnceYouHadStarted,MoQ09,NN353,AUDIT,Mother,Q09,AUDIT04,NN,0.527
5. ,Have you failed to do what was normally expected from you because of drinking,2,0.6048146156023819,HaveYouFailedToDoWhatWasNormallyExpectedFromYouBecauseOfDrinking,MoQ09,NN354,AUDIT,Mother,Q09,AUDIT05,NN,0.605
6. ,Have you needed a first drink in the morning to get yourself going after a heavy drinking session,2,0.4322619430697833,HaveYouNeededAFirstDrinkInTheMorningToGetYourselfGoingAfterAHeavyDrinkingSession,MoQ09,NN355,AUDIT,Mother,Q09,AUDIT06,NN,0.432
7. ,Have you had a feeling of guilt or remorse after drinking alcohol,2,0.614972533959788,HaveYouHadAFeelingOfGuiltOrRemorseAfterDrinkingAlcohol,MoQ09,NN356,AUDIT,Mother,Q09,AUDIT07,NN,0.615
8. ,Have you been unable to remember what happened the night before because you had been drinking alcohol,2,0.5096737447088562,HaveYouBeenUnableToRememberWhatHappenedTheNightBeforeBecauseYouHadBeenDrinkingAlcohol,MoQ09,NN357,AUDIT,Mother,Q09,AUDIT08,NN,0.51
9. ,Have you or someone else been injured as a result of your drinking,2,0.6869472857251379,HaveYouOrSomeoneElseBeenInjuredAsAResultOfYourDrinking,MoQ09,NN358,AUDIT,Mother,Q09,AUDIT09,NN,0.687
10. ,Has a relative friend or doctor or other health worker been concerned about your drinking or suggested that you cut down,2,0.6054338677116972,HasARelativeFriendOrDoctorOrOtherHealthWorkerBeenConcernedAboutYourDrinkingOrSuggestedThatYouCutDown,MoQ09,NN359,AUDIT,Mother,Q09,AUDIT10,NN,0.605
26. ,Your child fails to leave a note or let you know where he or she is going,4,0.4942741617133531,YourChildFailsToLeaveANoteOrLetYouKnowWhereHeOrSheIsGoing,MoQ09,NN337,APQ,Mother,Q09,APQ10,NN,0.494
27. ,Your child talks you out of being punished after he or she has done something wrong,2,0.4591703191937608,YourChildTalksYouOutOfBeingPunishedAfterHeOrSheHasDoneSomethingWrong,MoQ09,NN338,APQ,Mother,Q09,APQ11,NN,0.459
28. ,Your child stays out in the evening after the time he or she is supposed to be home,4,0.3701656698796145,YourChildStaysOutInTheEveningAfterTheTimeHeOrSheIsSupposedToBeHome,MoQ09,NN339,APQ,Mother,Q09,APQ12,NN,0.37
31. ,Your child is out with friends you dont know,4,0.47069319651332975,YourChildIsOutWithFriendsYouDontKnow,MoQ09,NN342,APQ,Mother,Q09,APQ13,NN,0.471
1. ,Mental health,0,0.5311848372998196,MentalHealth,MoQ07,LL363,SCL,Mother,Q07,SCL01,LL,0.531
63. ,I expect my children to do what they are told immediately without questions,4,0.5072569128025881,IExpectMyChildrenToDoWhatTheyAreToldImmediatelyWithoutQuestions,MoQ07,LL376,PAQR,Mother,Q07,PAQR01,LL,0.507
64. ,Other parents should use more force to get their children to behave properly,4,0.4829392550532951,OtherParentsShouldUseMoreForceToGetTheirChildrenToBehaveProperly,MoQ07,LL377,PAQR,Mother,Q07,PAQR02,LL,0.483
65. ,Smart parents should early teach their children who is the boss in the family,4,0.48677146737593296,SmartParentsShouldEarlyTeachTheirChildrenWhoIsTheBossInTheFamily,MoQ07,LL378,PAQR,Mother,Q07,PAQR03,LL,0.487
66. ,Most of the problems could be solved if parents would let their children choose their own activities make their own decisions and follow their own dreams when they grow up,4,0.4770489308320334,MostOfTheProblemsCouldBeSolvedIfParentsWouldLetTheirChildrenChooseTheirOwnActivitiesMakeTheirOwnDecisionsAndFollowTheirOwnDreamsWhenTheyGrowUp,MoQ07,LL379,PAQR,Mother,Q07,PAQR04,LL,0.477
67. ,I let my children decide most of the things by their own without much help from me,4,0.5291288418711622,ILetMyChildrenDecideMostOfTheThingsByTheirOwnWithoutMuchHelpFromMe,MoQ07,LL380,PAQR,Mother,Q07,PAQR05,LL,0.529
