Q1,Q2,CODES,OPT,R,TYPE,C1,Q
How tall are you?,cm,FF333,0 to 999,Number;0 to 999,Numeric,FF333,q01-w15-f
How much do you weigh?,kg,FF334,0 to 999,Number;0 to 999,Numeric,FF334,q01-w15-f
What is the heaviest you have weighed since you were 18 years old?,kg,FF335,0 to 999,Number;0 to 999,Numeric,FF335,q01-w15-f
What is the lightest you have weighed since you were 18 years old?,kg,FF336,0 to 999,Number;0 to 999,Numeric,FF336,q01-w15-f
What level of education do you have?,4 years,,,1==Secondary school;2==Further education;3==Further education-vocational;4==Further education 3 years –;5==Higher education up to and including;6==Higher education over 4 years;7==Other education,Categorical,,q01-w15-f
What is your work situation now?,Student,FF20,,,Tick,FF20,q01-w15-f
What is your work situation now?,At home,FF21,,,Tick,FF21,q01-w15-f
What is your work situation now?,Intern or apprentice,FF22,,,Tick,FF22,q01-w15-f
What is your work situation now?,Military service,FF23,,,Tick,FF23,q01-w15-f
What is your work situation now?,Unemployed or laid off,FF24,,,Tick,FF24,q01-w15-f
What is your work situation now?,Rehabilitation or disabled,FF25,,,Tick,FF25,q01-w15-f
What is your work situation now?,Employed in public sector,FF26,,,Tick,FF26,q01-w15-f
What is your work situation now?,Employed in private sector,FF27,,,Tick,FF27,q01-w15-f
What is your work situation now?,Self-employed,FF28,,,Tick,FF28,q01-w15-f
What is your work situation now?,Family member without steady income in,FF29,,,Tick,FF29,q01-w15-f
What is your work situation now?,family company,,,,Tick,,q01-w15-f
What is your work situation now?,Other,FF30,,,Tick,FF30,q01-w15-f
What is your work situation now?,Other describe,FF31,,,Tick,FF31,q01-w15-f
What is your work situation now?,.,,,,Tick,,q01-w15-f
What is your work situation now?,Job title at this workplace,,,,Tick,,q01-w15-f
How many hours of paid labour do you do per week?,hours,FF340,,,Tick,FF340,q01-w15-f
In the last 12 months have you been on sick leave?,Without medical certificate,FF342,,1==No;2==Yes,Categorical,FF342,q01-w15-f
In the last 12 months have you been on sick leave?,With medical certificate from doctor,FF343,,1==No;2==Yes,Categorical,FF343,q01-w15-f
If yes from when?,Month Year,,,1==No;2==Yes,Categorical,,q01-w15-f
If yes from when?,Sick pay or rehabilitation money,FF345; FF346; FF347;,,1==No;2==Yes,Categorical,FF345,q01-w15-f
If yes from when?,Benefits for vocational rehabilitation,FF348; FF349; FF350;,,1==No;2==Yes,Categorical,FF348,q01-w15-f
If yes from when?,Disability pension or limited disability pension,FF351; FF352; FF353;,,1==No;2==Yes,Categorical,FF351,q01-w15-f
If yes from when?,Social security payments,FF354; FF355; FF356;,,1==No;2==Yes,Categorical,FF354,q01-w15-f
If yes from when?,Unemployment benefit,FF357; FF358; FF359;,,1==No;2==Yes,Categorical,FF357,q01-w15-f
If yes from when?,Other benefits,FF360; FF361; FF362;,,1==No;2==Yes,Categorical,FF360,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Lead vapors lead dust lead particles,FF34; FF35; FF36; FF37;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF34,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,or lead alloys,,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Chrome arsenic cadmium or,FF38; FF39; FF40; FF41;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF38,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,combinations of these,,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Gasoline or exhaust,,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Mercury vapors mercury or work with,FF46; FF47; FF48; FF49;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF46,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,amalgam fillings,,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Disinfectants vermin poisons,FF50; FF51; FF52; FF53;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF50,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Weed killers insecticides fungicides,FF54; FF55; FF56; FF57;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF54,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Oil-based paint,FF58; FF59; FF60; FF61;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF58,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Water-based or latex paint,FF62; FF63; FF64; FF65;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF62,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,Paint thinner paint-lacquer-glue,FF66; FF67; FF68; FF69;,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,FF66,q01-w15-f
Have you been in contact with any of the following substances either at work or in your leisure time during the last six months?,remover or other solvents,,,1==Yes number of a extractor fan or used protective;2==No days breathing protection gloves,Categorical,,q01-w15-f
