Q1,Q2,CODES,OPT,R,TYPE,C1,Q
Have you used organic food products since you became pregnant?,Milk dairy products cheese,BB16,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB16,q02-w22-m
Have you used organic food products since you became pregnant?,Bread and cereals,BB17,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB17,q02-w22-m
Have you used organic food products since you became pregnant?,Eggs,BB18,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB18,q02-w22-m
Have you used organic food products since you became pregnant?,Vegetables,BB19,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB19,q02-w22-m
Have you used organic food products since you became pregnant?,Fruit,BB20,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB20,q02-w22-m
Have you used organic food products since you became pregnant?,Meat,BB21,,1==Seldom or never;2==Sometimes;3==Often;4==Usually,Categorical,BB21,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Breakfast,BB22,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB22,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Snack a.m.,BB23,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB23,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Lunch,BB24,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB24,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Snack before dinner,BB25,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB25,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Dinner,BB26,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB26,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Supper,BB28,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB28,q02-w22-m
How often have you had the following meals per week since you became pregnant?,Night meal,BB29,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,BB29,q02-w22-m
How often have you had the following meals per week since you became pregnant?,name,,,1==7;2==6;3==5;4==4;5==3;6==2Snack in the afternoon;7==1;8==0,Categorical,,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,of bread.,,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,of bread.,,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,White bread 13+ per day,BB30,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB30,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,White bread 13+ per day,BB30,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB30,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Wholemeal bread 8 per day,BB32,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB32,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Wholemeal bread 8 per day,BB32,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB32,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Dark bread 6 per day,BB34,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB34,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Dark bread 6 per day,BB34,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB34,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Fiber bread fiber crisp bread ryecrisp,BB36,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB36,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Fiber bread fiber crisp bread ryecrisp,BB36,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB36,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crisp bread rusk etc.,BB38,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB38,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crisp bread rusk etc.,BB38,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB38,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,White bread OR,BB31,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB31,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,White bread OR,BB31,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB31,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Wholemeal bread,BB33,5 to 6,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB33,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Wholemeal bread,BB33,5 to 6,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB33,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Dark bread,BB35,3 to 4,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB35,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Dark bread,BB35,3 to 4,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB35,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Fiber bread fiber crispbread ryecrisp,BB37,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB37,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Fiber bread fiber crispbread ryecrisp,BB37,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB37,q02-w22-m
