Q1,Q2,CODES,OPT,R,TYPE,C1,Q
How big was your child when he or she was born?,Birth weight,DD13,0 to 99,Number;0 to 99,Numeric,DD13,q04-m06-m
How big was your child when he or she was born?,length,DD14,,Number;0 to 99,Numeric,DD14,q04-m06-m
In which week of your pregnancy did you give birth?,Week:,DD15,0 to 99,Number;0 to 99,Numeric,DD15,q04-m06-m
How long was your child in hospital after the birth?,Or weeks,DD17,,Number of days,Numeric,DD17,q04-m06-m
How many days were you in hospital in connection with the birth?,Before the birth,DD33,,,Tick,DD33,q04-m06-m
How many days were you in hospital in connection with the birth?,After the birth,DD34,,,Tick,DD34,q04-m06-m
How true do you think the following descriptions are of the birth?,I felt safe and in good hands,DD36,,1==Fairly true;2==Partially true;3==Not true,Categorical,DD36,q04-m06-m
How true do you think the following descriptions are of the birth?,I was in a lot of pain,DD37,,1==Fairly true;2==Partially true;3==Not true,Categorical,DD37,q04-m06-m
How true do you think the following descriptions are of the birth?,I received too few pain-killing drugs,DD38,,1==Fairly true;2==Partially true;3==Not true,Categorical,DD38,q04-m06-m
What did you give your child to drink during the first week of life?,Breast milk,DD42,,,Tick,DD42,q04-m06-m
What did you give your child to drink during the first week of life?,Water,DD43,,,Tick,DD43,q04-m06-m
What did you give your child to drink during the first week of life?,Sugar water,DD44,,,Tick,DD44,q04-m06-m
What did you give your child to drink during the first week of life?,Formula,DD45,,,Tick,DD45,q04-m06-m
What did you give your child to drink during the first week of life?,Other,DD46,,,Tick,DD46,q04-m06-m
What did you give your child to drink during the first week of life?,Other specify,,,,Tick,,q04-m06-m
What did you give your child to drink during the first week of life?,Don’t know or remember,DD48,,,Tick,DD48,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Child’s age in months,,,,Tick,,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,0 1 2 3 4,,,,Tick,,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Breast milk,DD49; DD50; DD51; DD52; DD53; DD54; DD55;,,,Tick,DD49,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Standard collett formula,DD56; DD57; DD58; DD59; DD60; DD61; DD62;,,,Tick,DD56,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Collett formula with Omega 3,DD63; DD64; DD65; DD66; DD67; DD68; DD69;,,,Tick,DD63,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Standard NAN formula,DD70; DD71; DD72; DD73; DD74; DD75; DD76;,,,Tick,DD70,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Nan,HA1; DD77; DD78; DD79; DD80; DD81; DD82; DD83;,,,Tick,HA1,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Other milk,DD84; DD85; DD86; DD87; DD88; DD89; DD90;,,,Tick,DD84,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,DD91,DD91; DD91; DD91,,,Tick,DD91,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Other milk describe,DD91,,,Tick,DD91,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,DD853,DD853; DD853; DD853,,,Tick,DD853,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Water,DD853; DD1079; DD1080; DD1081; DD1082; DD1083; DD1084; DD1085;,,,Tick,DD853,q04-m06-m
What has your child been given to drink during the first 6 months of his or her life?,Squash or Juice,DD853; DD1086; DD1087; DD1088; DD1089; DD1090; DD1091; DD1092;,,,Tick,DD853,q04-m06-m
How often do you give your child the following to drink at the moment?,Breast milk,DD92,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD92,q04-m06-m
How often do you give your child the following to drink at the moment?,Breast milk supplement,DD93,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD93,q04-m06-m
How often do you give your child the following to drink at the moment?,Normal sweet milk any type,DD94,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD94,q04-m06-m
How often do you give your child the following to drink at the moment?,Sour milk,DD95,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD95,q04-m06-m
How often do you give your child the following to drink at the moment?,Organic milk products Never or seldom,DD96,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD96,q04-m06-m
How often do you give your child the following to drink at the moment?,Boiled water,DD97,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD97,q04-m06-m
How often do you give your child the following to drink at the moment?,Tap water,DD101,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD101,q04-m06-m
How often do you give your child the following to drink at the moment?,Bottled water,DD102,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD102,q04-m06-m
How often do you give your child the following to drink at the moment?,Bottled baby cordial,DD103,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD103,q04-m06-m
How often do you give your child the following to drink at the moment?,Other type of cordial sweetened,DD104,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD104,q04-m06-m
How often do you give your child the following to drink at the moment?,Cordial artificially sweetened,DD105,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD105,q04-m06-m
How often do you give your child the following to drink at the moment?,Juice,DD106,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD106,q04-m06-m
