Q1,Q2,CODES,OPT,R,TYPE,C1,Q
What have you been drinking the last month?,Dairy,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,Dairy,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,Full-fat milk,QDY4,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY4,q10-diet-c
What have you been drinking the last month?,Full-fat milk,QDY4,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY4,q10-diet-c
What have you been drinking the last month?,Low-fat milk,QDY5,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY5,q10-diet-c
What have you been drinking the last month?,Low-fat milk,QDY5,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY5,q10-diet-c
What have you been drinking the last month?,Extra low-fat milk,QDY6,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY6,q10-diet-c
What have you been drinking the last month?,Extra low-fat milk,QDY6,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY6,q10-diet-c
What have you been drinking the last month?,Skimmed milk,QDY7,2 to 6,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY7,q10-diet-c
What have you been drinking the last month?,Skimmed milk,QDY7,2 to 6,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY7,q10-diet-c
What have you been drinking the last month?,Kefir or buttermilk,QDY8,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY8,q10-diet-c
What have you been drinking the last month?,Kefir or buttermilk,QDY8,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY8,q10-diet-c
What have you been drinking the last month?,Chocolate milk strawberry milk,QDY9,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY9,q10-diet-c
What have you been drinking the last month?,Chocolate milk strawberry milk,QDY9,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY9,q10-diet-c
What have you been drinking the last month?,etc.,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,etc.,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,Cultura or Biola natural,QDY10,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY10,q10-diet-c
What have you been drinking the last month?,Cultura or Biola natural,QDY10,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY10,q10-diet-c
What have you been drinking the last month?,Cultura or Biola with taste,QDY11,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY11,q10-diet-c
What have you been drinking the last month?,Cultura or Biola with taste,QDY11,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY11,q10-diet-c
What have you been drinking the last month?,Juice or soft drink or water,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,Juice or soft drink or water,,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,,q10-diet-c
What have you been drinking the last month?,Soya milk rice or oat milk etc.,QDY12,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY12,q10-diet-c
What have you been drinking the last month?,Soya milk rice or oat milk etc.,QDY12,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY12,q10-diet-c
What have you been drinking the last month?,Tap water or bottled water,QDY13,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY13,q10-diet-c
What have you been drinking the last month?,Tap water or bottled water,QDY13,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY13,q10-diet-c
What have you been drinking the last month?,Orange juice,QDY14,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY14,q10-diet-c
What have you been drinking the last month?,Orange juice,QDY14,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY14,q10-diet-c
What have you been drinking the last month?,Apple juice,QDY15,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY15,q10-diet-c
What have you been drinking the last month?,Apple juice,QDY15,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY15,q10-diet-c
What have you been drinking the last month?,Other fruit juice and nectar,QDY16,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6s glass per week;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY16,q10-diet-c
What have you been drinking the last month?,Other fruit juice and nectar,QDY16,,1==0 glass per month;2==1 to 3 glass per month;3==1 glass per week;4==2 to 6;5==1 glass per day;6==2 to 3 glass per day;7==More than 3 glass per day,Categorical,QDY16,q10-diet-c
