Q1,Q2,CODES,OPT,R,TYPE,C1,Q
How well do the following statements correspond for you?,I find it quite hard to make friends,UB25,,1==Corresponds very poorly;2==Corresponds quite poorly;3==Corresponds quite well;4==Corresponds very well,Categorical,UB25,q11-y14-c
How well do the following statements correspond for you?,I have a lot of friends,UB26,,1==Corresponds very poorly;2==Corresponds quite poorly;3==Corresponds quite well;4==Corresponds very well,Categorical,UB26,q11-y14-c
How well do the following statements correspond for you?,Other teenagers find it hard to like me,UB27,,1==Corresponds very poorly;2==Corresponds quite poorly;3==Corresponds quite well;4==Corresponds very well,Categorical,UB27,q11-y14-c
How well do the following statements correspond for you?,I am popular with other teenagers,UB28,,1==Corresponds very poorly;2==Corresponds quite poorly;3==Corresponds quite well;4==Corresponds very well,Categorical,UB28,q11-y14-c
How well do the following statements correspond for you?,I feel socially accepted among others,UB29,,1==Corresponds very poorly;2==Corresponds quite poorly;3==Corresponds quite well;4==Corresponds very well,Categorical,UB29,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==yes;2==no but had previously;3==no never had,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==yes;2==no but had previously;3==Certainly true,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==yes;2==Somewhat true;3==no never had,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==yes;2==Somewhat true;3==Certainly true,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==Not true;2==no but had previously;3==no never had,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==Not true;2==no but had previously;3==Certainly true,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==Not true;2==Somewhat true;3==no never had,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I am considerate to other people’s feelings,UB31,,1==Not true;2==Somewhat true;3==Certainly true,Categorical,UB31,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==yes;2==no but had previously;3==no never had,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==yes;2==no but had previously;3==Certainly true,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==yes;2==Somewhat true;3==no never had,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==yes;2==Somewhat true;3==Certainly true,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==Not true;2==no but had previously;3==no never had,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==Not true;2==no but had previously;3==Certainly true,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==Not true;2==Somewhat true;3==no never had,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I share readily with others,UB32,,1==Not true;2==Somewhat true;3==Certainly true,Categorical,UB32,q11-y14-c
Do you have a steady boy- or girlfriend?,I am kind to children younger than me,UB34,,1==yes;2==no but had previously;3==no never had,Categorical,UB34,q11-y14-c
